2022-10-13 17:43:43 | SUCCESS  | Авторизация прошла успешно
2022-10-13 17:44:14 | SUCCESS  | Файл успешно скачан
2022-10-16 13:45:37 | SUCCESS  | Авторизация прошла успешно
2022-10-16 13:47:48 | SUCCESS  | Авторизация прошла успешно
2022-10-16 13:48:54 | SUCCESS  | Файл успешно скачан
2022-10-16 13:48:57 | SUCCESS  | Авторизация прошла успешно
2022-10-16 13:49:00 | SUCCESS  | Файл успешно скачан
2022-10-16 16:05:00 | SUCCESS  | Авторизация прошла успешно
2022-10-16 16:06:06 | SUCCESS  | Файл успешно скачан
2022-10-16 16:06:09 | SUCCESS  | Авторизация прошла успешно
2022-10-16 16:06:13 | SUCCESS  | Файл успешно скачан
